Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.0416978,0,0.666667,0.09,216.066,147.834,141.615
0.001,0.0416978,0,0.5,0.05,216.989,142.506,130.043
0.001,0.0416978,0,0.666667,0.17,219.878,156.237,152.762
0.001,0.0416978,0,0.666667,0.25,222.888,163.07,161.518
0.001,0.0416978,0,0.666667,0.21,221.363,159.834,157.586
0.001,0.0416978,0,0.5,0.13,221.064,152.876,145.324
0.001,0.0416978,0,0.833333,0.05,209.731,141.149,136.756
0.001,0.0416978,0,0.5,0.17,222.977,156.397,150.836
0.001,0.0416978,0,0.666667,0.01,209.584,133.275,119.443
0.001,0.0416978,0,0.666667,0.05,213.021,141.698,133.453
0.001,0.0416978,0,0.666667,0.13,217.845,152.241,147.662
0.001,0.0416978,0,1,0.01,202.559,132.436,129.737
0.001,0.0416978,0,1,0.05,206.354,140.833,141.529
0.001,0.0416978,0,0.833333,0.09,212.317,147.313,144.301
0.001,0.0416978,0,1,0.09,209.318,146.205,148.438
0.001,0.0416978,0,1,0.13,211.243,151.356,153.875
0.001,0.0416978,0,1,0.17,213.773,154.977,159.019
0.001,0.0416978,0,0.833333,0.13,214.373,151.734,149.986
0.001,0.0416978,0,0.833333,0.17,216.32,155.16,155.361
0.001,0.0416978,0,1,0.21,215.691,158.577,162.933
0.001,0.0416978,0,0.833333,0.21,218.26,159.062,159.75
0.001,0.0416978,0,0.833333,0.25,219.268,162.506,163.653
0.001,0.0416978,0.0277778,0,0.05,230.657,144.799,123.458
0.001,0.0416978,0.0277778,0,0.01,228.414,137.397,107.848
0.001,0.0416978,0.0277778,0,0.17,235.203,158.758,145.879
0.001,0.0416978,0.0277778,0.166667,0.05,225.902,144.028,125.393
0.001,0.0416978,0,1,0.25,217.371,161.995,166.188
0.001,0.0416978,0.0277778,0.166667,0.09,227.885,149.506,134.354
0.001,0.0416978,0.0277778,0.166667,0.01,223.229,136.118,109.342
0.001,0.0416978,0.0277778,0.166667,0.17,230.436,157.671,146.928
0.001,0.0416978,0.0277778,0.166667,0.21,231.882,160.8,152.293
0.001,0.0416978,0.0277778,0.333333,0.05,221.348,143.265,126.692
0.001,0.0416978,0.0277778,0.166667,0.25,233.279,164.487,156.576
0.001,0.0416978,0.0277778,0,0.09,232.449,150.783,133.459
0.001,0.0416978,0.0277778,0,0.13,233.759,154.971,140.168
0.001,0.0416978,0.0277778,0,0.21,236.291,161.688,151.124
0.001,0.0416978,0.0277778,0,0.25,236.937,165.558,155.477
0.001,0.0416978,0.0277778,0.166667,0.13,229.355,154.258,141.351
