Cm,Ch,Bm,Bh,T,sR,sG,sB
0.00736883,0.258387,0.5,0.75,0.25,4.09552,2.2577,2.5631
0.00736883,0.298359,0.5,0.75,0.25,3.88414,1.99779,2.50923
0.00736883,0.277834,0.5,0.75,0.25,3.92732,2.11427,2.54322
0.00736883,0.32,0.5,0.75,0.25,3.68404,1.91822,2.38792
0.00736883,0.190618,0.5,0.75,0.25,4.62506,2.61364,2.7116
0.00736883,0.206132,0.5,0.75,0.25,4.40591,2.43424,2.79822
0.00736883,0.23998,0.5,0.75,0.25,4.13466,2.26203,2.60538
0.00736883,0.222573,0.5,0.75,0.25,4.42794,2.3477,2.5704
0.0093089,0.00132752,0.5,0.75,0.25,8.46349,6.69128,4.14096
0.0093089,0.001,0.5,0.75,0.25,8.699,6.71044,4.18998
0.0093089,0.00172959,0.5,0.75,0.25,8.44494,6.39008,4.13019
0.0093089,0.00221673,0.5,0.75,0.25,8.08928,6.51618,3.95232
0.0093089,0.00280018,0.5,0.75,0.25,8.11657,6.3225,3.98525
0.0093089,0.00349187,0.5,0.75,0.25,8.22844,6.29405,3.9212
0.0093089,0.00525113,0.5,0.75,0.25,8.0115,6.21068,3.85257
0.0093089,0.0106706,0.5,0.75,0.25,7.80386,5.39629,3.75502
0.0093089,0.00904004,0.5,0.75,0.25,7.69702,5.51141,3.67193
0.0093089,0.0125124,0.5,0.75,0.25,7.50629,5.28344,3.5447
0.0093089,0.0223524,0.5,0.75,0.25,6.93199,4.71288,3.34283
0.0093089,0.0255268,0.5,0.75,0.25,7.01681,4.55796,3.35015
0.0093089,0.00430441,0.5,0.75,0.25,8.06153,6.27521,3.83292
0.0093089,0.00634605,0.5,0.75,0.25,7.79407,5.81351,3.94176
0.0093089,0.00760388,0.5,0.75,0.25,7.84314,5.68886,3.77119
0.0093089,0.0169004,0.5,0.75,0.25,7.41182,4.99876,3.44128
0.0093089,0.0790447,0.5,0.75,0.25,5.68183,3.37059,2.68042
0.0093089,0.064591,0.5,0.75,0.25,5.82891,3.4961,2.97285
0.0093089,0.0581572,0.5,0.75,0.25,6.12388,3.60436,2.94462
0.0093089,0.0715445,0.5,0.75,0.25,5.66162,3.42971,2.77506
0.0093089,0.014583,0.5,0.75,0.25,7.27095,5.05323,3.56091
0.0093089,0.0290279,0.5,0.75,0.25,6.81597,4.39812,3.20173
0.0093089,0.0328773,0.5,0.75,0.25,6.75575,4.22191,3.1865
0.0093089,0.0194837,0.5,0.75,0.25,7.17696,4.91171,3.41178
0.0093089,0.125752,0.5,0.75,0.25,4.98358,2.70315,2.48531
0.0093089,0.137144,0.5,0.75,0.25,4.68,2.61405,2.49065
0.0093089,0.149294,0.5,0.75,0.25,4.68683,2.48579,2.39086
0.0093089,0.0417114,0.5,0.75,0.25,6.46959,4.04891,3.07057
0.0093089,0.0467429,0.5,0.75,0.25,6.23826,4.02106,3.08867
0.0093089,0.0871198,0.5,0.75,0.25,5.46957,3.20638,2.68297
0.0093089,0.162234,0.5,0.75,0.25,4.39139,2.46011,2.38233
0.0093089,0.0957984,0.5,0.75,0.25,5.2599,3.13764,2.61166
0.0093089,0.10511,0.5,0.75,0.25,5.18344,2.9757,2.54738
0.0093089,0.175997,0.5,0.75,0.25,4.43394,2.32756,2.37654
0.0093089,0.206132,0.5,0.75,0.25,4.21022,2.10324,2.23433
0.0093089,0.190618,0.5,0.75,0.25,4.31301,2.19712,2.29247
0.0093089,0.0522165,0.5,0.75,0.25,6.10422,3.79569,2.9967
0.0093089,0.0370974,0.5,0.75,0.25,6.44852,4.23072,3.0983
0.0093089,0.115084,0.5,0.75,0.25,5.0529,2.88163,2.54988
0.0093089,0.222573,0.5,0.75,0.25,4.03604,2.08506,2.20474
0.0093089,0.23998,0.5,0.75,0.25,3.92764,2.00753,2.24475
0.0093089,0.258387,0.5,0.75,0.25,3.84745,1.94022,2.1731
0.0093089,0.277834,0.5,0.75,0.25,3.83717,1.82464,2.11635
0.0093089,0.298359,0.5,0.75,0.25,3.4849,1.81909,2.00915
0.0093089,0.32,0.5,0.75,0.25,3.39664,1.64858,2.00907
0.0115627,0.00430441,0.5,0.75,0.25,7.44829,5.29831,3.11139
